Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SpotLove Sanity,,,,2022-06-16 15:37:31,2022-06-16 15:40:00,2m - 28.545s,FAILED
,,,,,,,
Test Cases/testing/intro 1,,,,2022-06-16 15:37:31,2022-06-16 15:37:55,23.863s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-06-16 15:37:32,2022-06-16 15:37:47,14.747s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-16 15:37:47,2022-06-16 15:37:55,8.459s,PASSED
,,,,,,,
Test Cases/testing/intro 2,,,,2022-06-16 15:37:55,2022-06-16 15:37:58,2.826s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-16 15:37:56,2022-06-16 15:37:58,2.336s,PASSED
,,,,,,,
Test Cases/testing/intro 3,,,,2022-06-16 15:37:58,2022-06-16 15:38:00,2.109s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-16 15:37:59,2022-06-16 15:38:00,1.714s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-06-16 15:38:00,2022-06-16 15:38:02,1.723s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-06-16 15:38:01,2022-06-16 15:38:02,1.385s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-06-16 15:39:06,2022-06-16 15:40:00,53.310s,FAILED
"if (waitForElementPresent(Back, 30))",,,,2022-06-16 15:39:07,2022-06-16 15:40:00,53.069s,PASSED
