Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Updated Regression,,,,2023-02-07 12:53:38,2023-02-07 12:54:18,40.201s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-01 First Intro Screen,,,,2023-02-07 12:53:38,2023-02-07 12:54:02,23.800s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 12:53:39,2023-02-07 12:53:39,0.008s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2023-02-07 12:53:39,2023-02-07 12:53:54,15.144s,PASSED
"if (waitForElementPresent(logo, 10))",,,,2023-02-07 12:53:54,2023-02-07 12:54:02,7.951s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 12:54:02,2023-02-07 12:54:02,0.003s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-02 Second Intro Screen,,,,2023-02-07 12:54:02,2023-02-07 12:54:08,6.293s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 12:54:02,2023-02-07 12:54:02,0.001s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-07 12:54:03,2023-02-07 12:54:08,5.728s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 12:54:08,2023-02-07 12:54:08,0.002s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-03 Third Intro Screen,,,,2023-02-07 12:54:08,2023-02-07 12:54:15,6.511s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 12:54:09,2023-02-07 12:54:09,0.001s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-07 12:54:09,2023-02-07 12:54:15,5.938s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 12:54:15,2023-02-07 12:54:15,0.001s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-04 Sign In Selection,,,,2023-02-07 12:54:15,2023-02-07 12:54:17,2.650s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 12:54:15,2023-02-07 12:54:15,0.002s,PASSED
"if (waitForElementPresent(F_lbl_text, 10))",,,,2023-02-07 12:54:15,2023-02-07 12:54:17,2.321s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 12:54:17,2023-02-07 12:54:17,0.001s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-05 Phone Number Enter Screen,,,,2023-02-07 12:54:18,2023-02-07 12:54:18,0.706s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 12:54:18,2023-02-07 12:54:18,0.001s,PASSED
"if (waitForElementPresent(spotlove_logo, 10))",,,,2023-02-07 12:54:18,2023-02-07 12:54:18,0.275s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 12:54:18,2023-02-07 12:54:18,0.002s,PASSED
