Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-12-05 16:56:39,2022-12-05 17:00:32,3m - 52.741s,PASSED
,,,,,,,
Test Cases/Smoke/TC_001,,,,2022-12-05 16:56:40,2022-12-05 16:58:22,1m - 42.458s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-12-05 16:56:40,2022-12-05 16:56:40,0.009s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-12-05 16:56:40,2022-12-05 16:56:55,15.348s,PASSED
"check_image = findTestObject(""Object Repository/Smoke/Verify Login Sign Up/Intro screen image"")",,,,2022-12-05 16:56:56,2022-12-05 16:56:56,0.045s,PASSED
"if (waitForElementPresent(check_image, 10))",,,,2022-12-05 16:56:56,2022-12-05 16:58:22,1m - 26.631s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-12-05 16:58:22,2022-12-05 16:58:22,0.002s,PASSED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-12-05 16:58:22,2022-12-05 17:00:32,2m - 9.895s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-12-05 16:58:22,2022-12-05 16:58:22,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-12-05 16:58:23,2022-12-05 16:58:23,0.861s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap continue btn on source screen""), null, STOP_ON_FAILURE)",,,,2022-12-05 16:58:23,2022-12-05 16:58:25,1.567s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Enter First Name and continue""), [""FName"":FName], STOP_ON_FAILURE)",,,,2022-12-05 16:58:25,2022-12-05 16:58:28,3.107s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap Continue button on birth screen""), null, STOP_ON_FAILURE)",,,,2022-12-05 16:58:28,2022-12-05 16:58:36,8.267s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap Continue on Gender Screen""), [""Gender"":Gender], STOP_ON_FAILURE)",,,,2022-12-05 16:58:36,2022-12-05 16:58:39,2.834s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap continue on Into Screen""), [""Into"":Into], STOP_ON_FAILURE)",,,,2022-12-05 16:58:39,2022-12-05 16:58:42,2.723s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue btn n Height screen""), null, STOP_ON_FAILURE)",,,,2022-12-05 16:58:42,2022-12-05 16:58:44,1.936s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to Continue on Ethnicity Screen""), [""Ethnicity"":Ethnicity], STOP_ON_FAILURE)",,,,2022-12-05 16:58:44,2022-12-05 16:58:47,2.863s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue on Religion Screen""), [""Religion"":Religion], STOP_ON_FAILURE)",,,,2022-12-05 16:58:47,2022-12-05 16:58:50,2.888s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue on Relationship Screen""), [""Relationship"":Relationship], STOP_ON_FAILURE)",,,,2022-12-05 16:58:50,2022-12-05 16:58:53,3.223s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to Continue on Family Plan""), [""Children"":Children, ""Plan"":Plan], STOP_ON_FAILURE)",,,,2022-12-05 16:58:53,2022-12-05 16:58:57,3.767s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to Continue on Education Screen""), [""Education"":Education], STOP_ON_FAILURE)",,,,2022-12-05 16:58:57,2022-12-05 16:59:00,3.401s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue on Vices Screen""), [""Smoking"":Smoking, ""Marijuana"":Marijuana, ""Alcohol"":Alcohol], STOP_ON_FAILURE)",,,,2022-12-05 16:59:00,2022-12-05 16:59:10,9.788s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue on Politics Screen""), [""Political"":Political], STOP_ON_FAILURE)",,,,2022-12-05 16:59:10,2022-12-05 16:59:15,4.808s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Upload Profile Picture And tap Continue""), null, STOP_ON_FAILURE)",,,,2022-12-05 16:59:15,2022-12-05 17:00:02,47.030s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to Continue on One-liner Screen""), [""One_liner"":One_liner], STOP_ON_FAILURE)",,,,2022-12-05 17:00:02,2022-12-05 17:00:07,5.140s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to Enable Location on location screen""), null, STOP_ON_FAILURE)",,,,2022-12-05 17:00:07,2022-12-05 17:00:32,25.366s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-12-05 17:00:32,2022-12-05 17:00:32,0.001s,PASSED
