Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-11-26 23:29:21,2022-11-26 23:29:42,20.695s,FAILED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-11-26 23:29:21,2022-11-26 23:29:42,20.282s,FAILED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-11-26 23:29:22,2022-11-26 23:29:38,16.322s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-11-26 23:29:38,2022-11-26 23:29:41,3.502s,FAILED
