Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Updated Regression,,,,2023-02-01 17:17:37,2023-02-01 17:18:39,1m - 2.290s,PASSED
,,,,,,,
Test Cases/Regression/TC_001,,,,2023-02-01 17:17:37,2023-02-01 17:18:39,1m - 2.049s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-01 17:17:37,2023-02-01 17:17:37,0.011s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2023-02-01 17:17:37,2023-02-01 17:17:57,19.043s,PASSED
"image = findTestObject(""Object Repository/Regression/SC-001 Intro 1/Middle Screen Pic"")",,,,2023-02-01 17:17:57,2023-02-01 17:17:57,0.037s,PASSED
"if (waitForElementPresent(image, 20))",,,,2023-02-01 17:17:57,2023-02-01 17:18:17,20.124s,PASSED
else,,,,2023-02-01 17:18:17,2023-02-01 17:18:39,22.412s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-01 17:18:39,2023-02-01 17:18:39,0.002s,PASSED
