Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
fhakla,,,,2023-02-06 13:38:37,2023-02-06 13:38:59,22.761s,FAILED
,,,,,,,
Test Cases/Regression/LookUps/SL-01 First Intro Screen,,,,2023-02-06 13:38:37,2023-02-06 13:38:57,20.427s,FAILED
Start listener action : sampleBeforeTestCase,,,,2023-02-06 13:38:38,2023-02-06 13:38:38,0.019s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2023-02-06 13:38:38,2023-02-06 13:38:57,19.254s,FAILED
Start listener action : sampleAfterTestCase,,,,2023-02-06 13:38:57,2023-02-06 13:38:57,0.015s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-02 Second Intro Screen,,,,2023-02-06 13:38:57,2023-02-06 13:38:58,0.998s,FAILED
Start listener action : sampleBeforeTestCase,,,,2023-02-06 13:38:58,2023-02-06 13:38:58,0.004s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-06 13:38:58,2023-02-06 13:38:58,0.025s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-06 13:38:58,2023-02-06 13:38:58,0.003s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-03 Third Intro Screen,,,,2023-02-06 13:38:58,2023-02-06 13:38:59,1.034s,FAILED
Start listener action : sampleBeforeTestCase,,,,2023-02-06 13:38:59,2023-02-06 13:38:59,0.027s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-06 13:38:59,2023-02-06 13:38:59,0.004s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-06 13:38:59,2023-02-06 13:38:59,0.011s,PASSED
