Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-11-28 11:46:16,2022-11-28 11:47:45,1m - 29.269s,FAILED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-11-28 11:46:16,2022-11-28 11:47:45,1m - 28.852s,FAILED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-11-28 11:46:17,2022-11-28 11:46:30,13.441s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-11-28 11:46:30,2022-11-28 11:46:35,4.864s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap continue btn on source screen""), null, STOP_ON_FAILURE)",,,,2022-11-28 11:46:35,2022-11-28 11:46:36,0.687s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Enter First Name and continue""), [""FName"":FName], STOP_ON_FAILURE)",,,,2022-11-28 11:46:36,2022-11-28 11:46:58,21.923s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap Continue button on birth screen""), null, STOP_ON_FAILURE)",,,,2022-11-28 11:46:58,2022-11-28 11:47:06,7.734s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap Continue on Gender Screen""), [""Gender"":Gender], STOP_ON_FAILURE)",,,,2022-11-28 11:47:06,2022-11-28 11:47:08,2.031s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap continue on Into Screen""), [""Into"":Into], STOP_ON_FAILURE)",,,,2022-11-28 11:47:08,2022-11-28 11:47:10,2.378s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue btn n Height screen""), null, STOP_ON_FAILURE)",,,,2022-11-28 11:47:10,2022-11-28 11:47:12,1.700s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to Continue on Ethnicity Screen""), [""Ethnicity"":Ethnicity], STOP_ON_FAILURE)",,,,2022-11-28 11:47:12,2022-11-28 11:47:14,2.756s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue on Religion Screen""), [""Religion"":Religion], STOP_ON_FAILURE)",,,,2022-11-28 11:47:14,2022-11-28 11:47:17,2.822s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue on Relationship Screen""), [""Relationship"":Relationship], STOP_ON_FAILURE)",,,,2022-11-28 11:47:17,2022-11-28 11:47:19,2.122s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to Continue on Family Plan""), [""Children"":Children, ""Plan"":Plan], STOP_ON_FAILURE)",,,,2022-11-28 11:47:19,2022-11-28 11:47:23,3.311s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to Continue on Education Screen""), [""Education"":Education], STOP_ON_FAILURE)",,,,2022-11-28 11:47:23,2022-11-28 11:47:26,2.910s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue on Vices Screen""), [""Smoking"":Smoking, ""Marijuana"":Marijuana, ""Alcohol"":Alcohol], STOP_ON_FAILURE)",,,,2022-11-28 11:47:26,2022-11-28 11:47:37,11.522s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap to continue on Politics Screen""), [""Political"":Political], STOP_ON_FAILURE)",,,,2022-11-28 11:47:37,2022-11-28 11:47:45,8.184s,FAILED
