Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Updated Regression,,,,2023-02-07 20:18:05,2023-02-07 20:21:39,3m - 34.192s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-01 First Intro Screen,,,,2023-02-07 20:18:05,2023-02-07 20:18:29,23.454s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 20:18:05,2023-02-07 20:18:05,0.008s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2023-02-07 20:18:06,2023-02-07 20:18:21,14.940s,PASSED
"if (waitForElementPresent(logo, 10))",,,,2023-02-07 20:18:21,2023-02-07 20:18:29,7.851s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 20:18:29,2023-02-07 20:18:29,0.003s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-02 Second Intro Screen,,,,2023-02-07 20:18:29,2023-02-07 20:18:35,6.554s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 20:18:29,2023-02-07 20:18:29,0.002s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-07 20:18:29,2023-02-07 20:18:35,5.944s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 20:18:35,2023-02-07 20:18:35,0.001s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-03 Third Intro Screen,,,,2023-02-07 20:18:35,2023-02-07 20:18:42,6.795s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 20:18:35,2023-02-07 20:18:35,0.001s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-07 20:18:36,2023-02-07 20:18:42,6.205s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 20:18:42,2023-02-07 20:18:42,0.001s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-04 Sign In Selection,,,,2023-02-07 20:18:42,2023-02-07 20:18:45,2.712s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 20:18:42,2023-02-07 20:18:42,0.002s,PASSED
"if (waitForElementPresent(First_lbl_text, 10))",,,,2023-02-07 20:18:42,2023-02-07 20:18:45,2.372s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 20:18:45,2023-02-07 20:18:45,0.001s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-05 Phone Number Enter Screen,,,,2023-02-07 20:18:45,2023-02-07 20:19:12,27.622s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-07 20:18:45,2023-02-07 20:18:45,0.001s,PASSED
"if (waitForElementPresent(spotlove_logo, 10))",,,,2023-02-07 20:18:45,2023-02-07 20:19:12,27.057s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-07 20:19:12,2023-02-07 20:19:12,0.002s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-06 OTP Screen,,,,2023-02-07 20:19:12,2023-02-07 20:19:30,17.973s,PASSED
