Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SpotLove Sanity,,,,2022-06-16 13:59:19,2022-06-16 13:59:25,6.329s,FAILED
,,,,,,,
Test Cases/testing/intro 1,,,,2022-06-16 13:59:21,2022-06-16 13:59:21,0.232s,FAILED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-06-16 13:59:21,2022-06-16 13:59:21,0.008s,FAILED
,,,,,,,
Test Cases/testing/intro 2,,,,2022-06-16 13:59:22,2022-06-16 13:59:22,0.235s,FAILED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-16 13:59:22,2022-06-16 13:59:22,0.002s,PASSED
,,,,,,,
Test Cases/testing/intro 3,,,,2022-06-16 13:59:24,2022-06-16 13:59:24,0.202s,FAILED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-16 13:59:24,2022-06-16 13:59:24,0.003s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-06-16 13:59:24,2022-06-16 13:59:25,0.124s,FAILED
"if (waitForElementPresent(logo, 30))",,,,2022-06-16 13:59:25,2022-06-16 13:59:25,0.002s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-06-16 13:59:25,2022-06-16 13:59:25,0.068s,FAILED
"if (waitForElementPresent(Back, 30))",,,,2022-06-16 13:59:25,2022-06-16 13:59:25,0.005s,PASSED
