Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-11-30 12:26:32,2022-11-30 12:27:04,32.384s,ERROR
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-11-30 12:26:32,2022-11-30 12:26:53,20.689s,ERROR
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-11-30 12:26:33,2022-11-30 12:26:48,14.554s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-11-30 12:26:48,2022-11-30 12:26:52,3.861s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap continue btn on source screen""), null, STOP_ON_FAILURE)",,,,2022-11-30 12:26:52,2022-11-30 12:26:53,1.142s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Enter First Name and continue""), [""FName"":FName], STOP_ON_FAILURE)",,,,2022-11-30 12:26:53,2022-11-30 12:26:53,0.315s,ERROR
,,,,,,,
Test Cases/Smoke/TC_003 Home,,,,2022-11-30 12:26:53,2022-11-30 12:27:04,11.201s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Home/Home Flow""), null, STOP_ON_FAILURE)",,,,2022-11-30 12:26:53,2022-11-30 12:27:04,10.723s,PASSED
"markPassed(""Passed! Home Flow is verified Successfully.....!"")",,,,2022-11-30 12:27:04,2022-11-30 12:27:04,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Home/Explore Tab Verification""), null, STOP_ON_FAILURE)",,,,2022-11-30 12:27:04,2022-11-30 12:27:04,0.232s,PASSED
"markPassed(""Passed! Explore Tab is verified Successfully.....!"")",,,,2022-11-30 12:27:04,2022-11-30 12:27:04,0.001s,PASSED
