Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-11-24 12:47:28,2022-11-24 12:48:32,1m - 4.686s,FAILED
,,,,,,,
Test Cases/Smoke/TC_001,,,,2022-11-24 12:47:28,2022-11-24 12:48:25,57.432s,FAILED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-11-24 12:47:28,2022-11-24 12:47:42,14.247s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Sign IN UP/Screen1_Intro Screens""), null, STOP_ON_FAILURE)",,,,2022-11-24 12:47:42,2022-11-24 12:47:50,7.398s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Sign IN UP/Screen2_Welcome Screen""), null, STOP_ON_FAILURE)",,,,2022-11-24 12:47:50,2022-11-24 12:47:51,1.372s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Sign IN UP/Screen3_Phone Number (Enter number)""), null, STOP_ON_FAILURE)",,,,2022-11-24 12:47:51,2022-11-24 12:48:08,17.169s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Sign IN UP/Screen4_OTP""), null, STOP_ON_FAILURE)",,,,2022-11-24 12:48:08,2022-11-24 12:48:25,16.941s,FAILED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-11-24 12:48:25,2022-11-24 12:48:32,6.989s,FAILED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-11-24 12:48:25,2022-11-24 12:48:32,6.826s,FAILED
