Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SpotLove Sanity,,,,2022-04-21 12:55:31,2022-04-21 13:11:34,16m - 2.810s,FAILED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-04-21 12:55:31,2022-04-21 12:56:04,32.298s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-04-21 12:55:32,2022-04-21 12:55:53,20.797s,PASSED
"checkElement(findTestObject(""Use Phone Number Screen/SPOT""), 15)",,,,2022-04-21 12:55:53,2022-04-21 12:55:59,6.614s,PASSED
"checkElement(findTestObject(""Use Phone Number Screen/heart icon""), 15)",,,,2022-04-21 12:55:59,2022-04-21 12:56:00,0.575s,PASSED
"checkElement(findTestObject(""Use Phone Number Screen/LOVE label text""), 15)",,,,2022-04-21 12:56:00,2022-04-21 12:56:01,0.611s,PASSED
"checkElement(findTestObject(""Use Phone Number Screen/AT FIRST SIGHT label text""), 15)",,,,2022-04-21 12:56:01,2022-04-21 12:56:01,0.619s,PASSED
"checkElement(findTestObject(""Use Phone Number Screen/Privacy Policy label text""), 15)",,,,2022-04-21 12:56:01,2022-04-21 12:56:02,1.152s,PASSED
"checkElement(findTestObject(""Use Phone Number Screen/MATCHMAKERS label text""), 15)",,,,2022-04-21 12:56:02,2022-04-21 12:56:03,0.598s,PASSED
"tap(findTestObject(""Use Phone Number Screen/usePhoneNUmber""), 15)",,,,2022-04-21 12:56:03,2022-04-21 12:56:04,0.700s,PASSED
,,,,,,,
Test Cases/testing/Whats Your phone number,,,,2022-04-21 12:56:04,2022-04-21 12:56:14,10.572s,PASSED
"checkElement(findTestObject(""Whats Your Phone Number/YOUR DEETS label text""), 15)",,,,2022-04-21 12:56:04,2022-04-21 12:56:06,1.362s,PASSED
"checkElement(findTestObject(""Whats Your Phone Number/Whats your  phone number label text""), 15)",,,,2022-04-21 12:56:06,2022-04-21 12:56:06,0.565s,PASSED
"checkElement(findTestObject(""Whats Your Phone Number/We protect label text""), 15)",,,,2022-04-21 12:56:06,2022-04-21 12:56:07,0.552s,PASSED
"checkElement(findTestObject(""Whats Your Phone Number/flag""), 15)",,,,2022-04-21 12:56:07,2022-04-21 12:56:07,0.599s,PASSED
