Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-11-30 12:36:06,2022-11-30 12:36:19,13.062s,FAILED
,,,,,,,
Test Cases/Smoke/TC_001,,,,2022-11-30 12:36:06,2022-11-30 12:36:17,10.930s,FAILED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-11-30 12:36:07,2022-11-30 12:36:17,10.497s,FAILED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-11-30 12:36:17,2022-11-30 12:36:18,0.809s,FAILED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-11-30 12:36:18,2022-11-30 12:36:18,0.405s,FAILED
,,,,,,,
Test Cases/Smoke/TC_003 Home,,,,2022-11-30 12:36:18,2022-11-30 12:36:19,0.830s,FAILED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Home/Home Flow""), null, STOP_ON_FAILURE)",,,,2022-11-30 12:36:18,2022-11-30 12:36:19,0.632s,FAILED
