Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
new,,,,2022-07-19 16:56:54,2022-07-19 16:57:38,43.333s,PASSED
,,,,,,,
Test Cases/testing/intro 1,,,,2022-07-19 16:56:55,2022-07-19 16:57:20,25.246s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-07-19 16:56:55,2022-07-19 16:57:11,15.462s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-07-19 16:57:11,2022-07-19 16:57:20,8.916s,PASSED
,,,,,,,
Test Cases/testing/intro 2,,,,2022-07-19 16:57:20,2022-07-19 16:57:22,2.159s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-07-19 16:57:20,2022-07-19 16:57:22,1.621s,PASSED
,,,,,,,
Test Cases/testing/intro 3,,,,2022-07-19 16:57:22,2022-07-19 16:57:24,2.145s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-07-19 16:57:22,2022-07-19 16:57:24,1.705s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-07-19 16:57:24,2022-07-19 16:57:26,1.747s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-07-19 16:57:25,2022-07-19 16:57:26,1.014s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-07-19 16:57:26,2022-07-19 16:57:38,11.769s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-07-19 16:57:27,2022-07-19 16:57:38,11.051s,PASSED
