Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-11-30 18:55:27,2022-11-30 18:56:58,1m - 30.824s,FAILED
,,,,,,,
Test Cases/Smoke/TC_001,,,,2022-11-30 18:55:27,2022-11-30 18:56:58,1m - 30.485s,FAILED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-11-30 18:55:28,2022-11-30 18:55:43,15.358s,PASSED
check_image = false,,,,2022-11-30 18:55:43,2022-11-30 18:55:43,0.001s,PASSED
"check_image = waitForElementPresent(findTestObject(""Object Repository/Smoke/Verify Login Sign Up/Intro screen image""), 10, OPTIONAL)",,,,2022-11-30 18:55:43,2022-11-30 18:55:48,4.842s,PASSED
if (check_image == true),,,,2022-11-30 18:55:48,2022-11-30 18:56:58,1m - 9.832s,FAILED
