Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-11-30 12:47:24,2022-11-30 12:47:37,13.445s,FAILED
,,,,,,,
Test Cases/Smoke/TC_001,,,,2022-11-30 12:47:24,2022-11-30 12:47:35,11.254s,FAILED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-11-30 12:47:24,2022-11-30 12:47:35,10.758s,FAILED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-11-30 12:47:35,2022-11-30 12:47:36,0.831s,FAILED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-11-30 12:47:36,2022-11-30 12:47:36,0.350s,FAILED
,,,,,,,
Test Cases/Smoke/TC_003 Home,,,,2022-11-30 12:47:36,2022-11-30 12:47:37,0.829s,FAILED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Home/Home Flow""), null, STOP_ON_FAILURE)",,,,2022-11-30 12:47:36,2022-11-30 12:47:37,0.630s,FAILED
