Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-12-06 13:06:07,2022-12-06 13:08:19,2m - 12.557s,FAILED
,,,,,,,
Test Cases/Smoke/TC_001,,,,2022-12-06 13:06:07,2022-12-06 13:07:48,1m - 41.239s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-12-06 13:06:07,2022-12-06 13:06:07,0.010s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-12-06 13:06:07,2022-12-06 13:06:23,15.663s,PASSED
"check_image = findTestObject(""Object Repository/Smoke/Verify Login Sign Up/Intro screen image"")",,,,2022-12-06 13:06:23,2022-12-06 13:06:23,0.044s,PASSED
"if (waitForElementPresent(check_image, 10))",,,,2022-12-06 13:06:23,2022-12-06 13:07:48,1m - 25.118s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-12-06 13:07:48,2022-12-06 13:07:48,0.002s,PASSED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-12-06 13:07:48,2022-12-06 13:08:09,20.827s,FAILED
Start listener action : sampleBeforeTestCase,,,,2022-12-06 13:07:48,2022-12-06 13:07:48,0.002s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-12-06 13:07:48,2022-12-06 13:07:58,9.215s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap continue btn on source screen""), null, STOP_ON_FAILURE)",,,,2022-12-06 13:07:58,2022-12-06 13:07:59,1.030s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Enter First Name and continue""), [""FName"":FName], STOP_ON_FAILURE)",,,,2022-12-06 13:07:59,2022-12-06 13:08:09,10.268s,FAILED
Start listener action : sampleAfterTestCase,,,,2022-12-06 13:08:09,2022-12-06 13:08:09,0.001s,PASSED
,,,,,,,
Test Cases/Smoke/TC_003 Home,,,,2022-12-06 13:08:09,2022-12-06 13:08:19,10.101s,PASSED
Start listener action : sampleBeforeTestCase,,,,2022-12-06 13:08:09,2022-12-06 13:08:09,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Home/Home Flow""), null, STOP_ON_FAILURE)",,,,2022-12-06 13:08:09,2022-12-06 13:08:19,9.709s,PASSED
"markPassed(""Passed! Home Flow is verified Successfully.....!"")",,,,2022-12-06 13:08:19,2022-12-06 13:08:19,0.001s,PASSED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUps For Home/Explore Tab Verification""), null, STOP_ON_FAILURE)",,,,2022-12-06 13:08:19,2022-12-06 13:08:19,0.203s,PASSED
"markPassed(""Passed! Explore Tab is verified Successfully.....!"")",,,,2022-12-06 13:08:19,2022-12-06 13:08:19,0.001s,PASSED
Start listener action : sampleAfterTestCase,,,,2022-12-06 13:08:19,2022-12-06 13:08:19,0.000s,PASSED
