Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tyui,,,,2023-02-03 19:39:09,2023-02-03 19:40:29,1m - 19.414s,FAILED
,,,,,,,
Test Cases/Regression/LookUps/Sl-19 Vices,,,,2023-02-03 19:39:10,2023-02-03 19:40:06,56.140s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-03 19:39:10,2023-02-03 19:39:10,0.009s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2023-02-03 19:39:10,2023-02-03 19:39:25,14.886s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-03 19:39:25,2023-02-03 19:40:06,40.408s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-03 19:40:06,2023-02-03 19:40:06,0.002s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-20 Politics,,,,2023-02-03 19:40:06,2023-02-03 19:40:29,23.054s,FAILED
Start listener action : sampleBeforeTestCase,,,,2023-02-03 19:40:06,2023-02-03 19:40:06,0.001s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-03 19:40:06,2023-02-03 19:40:29,22.503s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-03 19:40:29,2023-02-03 19:40:29,0.002s,PASSED
