Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Smoke,,,,2022-11-25 17:35:10,2022-11-25 17:35:18,8.535s,FAILED
,,,,,,,
Test Cases/Smoke/TC_001,,,,2022-11-25 17:35:10,2022-11-25 17:35:17,6.781s,FAILED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-11-25 17:35:10,2022-11-25 17:35:17,6.445s,FAILED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-11-25 17:35:17,2022-11-25 17:35:18,0.697s,FAILED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-11-25 17:35:17,2022-11-25 17:35:18,0.355s,FAILED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-11-25 17:35:18,2022-11-25 17:35:18,0.123s,FAILED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-11-25 17:35:18,2022-11-25 17:35:18,0.104s,FAILED
,,,,,,,
Test Cases/Smoke/TC_002 Onboard,,,,2022-11-25 17:35:18,2022-11-25 17:35:18,0.124s,FAILED
"callTestCase(findTestCase(""Test Cases/Smoke/LookUp For Onboard/Tap on I agree button""), null, STOP_ON_FAILURE)",,,,2022-11-25 17:35:18,2022-11-25 17:35:18,0.106s,FAILED
