Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
tyui,,,,2023-02-03 19:59:16,2023-02-03 20:00:42,1m - 26.203s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/Sl-19 Vices,,,,2023-02-03 19:59:16,2023-02-03 20:00:14,58.036s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-03 19:59:16,2023-02-03 19:59:16,0.009s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2023-02-03 19:59:17,2023-02-03 19:59:32,15.060s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-03 19:59:32,2023-02-03 20:00:14,42.108s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-03 20:00:14,2023-02-03 20:00:14,0.004s,PASSED
,,,,,,,
Test Cases/Regression/LookUps/SL-20 Politics,,,,2023-02-03 20:00:14,2023-02-03 20:00:42,27.941s,PASSED
Start listener action : sampleBeforeTestCase,,,,2023-02-03 20:00:14,2023-02-03 20:00:14,0.001s,PASSED
"if (waitForElementPresent(btn_back, 10))",,,,2023-02-03 20:00:15,2023-02-03 20:00:42,27.366s,PASSED
Start listener action : sampleAfterTestCase,,,,2023-02-03 20:00:42,2023-02-03 20:00:42,0.002s,PASSED
