Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SpotLove Sanity,,,,2022-06-20 12:10:16,2022-06-20 12:11:01,44.464s,ERROR
,,,,,,,
Test Cases/testing/intro 1,,,,2022-06-20 12:10:16,2022-06-20 12:10:41,24.155s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-06-20 12:10:17,2022-06-20 12:10:32,14.864s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-20 12:10:32,2022-06-20 12:10:41,8.609s,PASSED
,,,,,,,
Test Cases/testing/intro 2,,,,2022-06-20 12:10:41,2022-06-20 12:10:43,2.161s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-20 12:10:41,2022-06-20 12:10:43,1.635s,PASSED
,,,,,,,
Test Cases/testing/intro 3,,,,2022-06-20 12:10:43,2022-06-20 12:10:45,2.200s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-20 12:10:43,2022-06-20 12:10:45,1.778s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-06-20 12:10:45,2022-06-20 12:10:47,1.723s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-06-20 12:10:45,2022-06-20 12:10:47,1.440s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-06-20 12:10:47,2022-06-20 12:10:58,11.724s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-06-20 12:10:47,2022-06-20 12:10:58,11.163s,PASSED
,,,,,,,
Test Cases/testing/OTP,,,,2022-06-20 12:11:00,2022-06-20 12:11:01,0.286s,ERROR
"if (waitForElementPresent(logo, 30))",,,,2022-06-20 12:11:00,2022-06-20 12:11:01,0.153s,PASSED
