Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SpotLove Sanity,,,,2022-06-15 16:32:08,2022-06-15 16:32:33,25.354s,ERROR
,,,,,,,
Test Cases/testing/intro 1,,,,2022-06-15 16:32:08,2022-06-15 16:32:31,22.871s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-06-15 16:32:08,2022-06-15 16:32:24,15.226s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-15 16:32:24,2022-06-15 16:32:31,6.973s,PASSED
,,,,,,,
Test Cases/testing/intro2,,,,2022-06-15 16:32:33,2022-06-15 16:32:33,0.372s,ERROR
"if (waitForElementPresent(hearticon, 30))",,,,2022-06-15 16:32:33,2022-06-15 16:32:33,0.168s,PASSED
