Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
new,,,,2022-07-19 16:33:33,2022-07-19 16:36:50,3m - 17.188s,FAILED
,,,,,,,
Test Cases/testing/intro 1,,,,2022-07-19 16:33:33,2022-07-19 16:33:59,25.831s,PASSED
"startExistingApplication(""com.spotlove.releaseproduction"", STOP_ON_FAILURE)",,,,2022-07-19 16:33:34,2022-07-19 16:33:49,15.892s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-07-19 16:33:49,2022-07-19 16:33:59,9.197s,PASSED
,,,,,,,
Test Cases/testing/intro 2,,,,2022-07-19 16:33:59,2022-07-19 16:34:01,2.161s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-07-19 16:33:59,2022-07-19 16:34:01,1.670s,PASSED
,,,,,,,
Test Cases/testing/intro 3,,,,2022-07-19 16:34:01,2022-07-19 16:34:03,2.593s,PASSED
"if (waitForElementPresent(hearticon, 30))",,,,2022-07-19 16:34:01,2022-07-19 16:34:03,2.178s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-07-19 16:34:03,2022-07-19 16:34:05,1.676s,PASSED
"if (waitForElementPresent(logo, 30))",,,,2022-07-19 16:34:04,2022-07-19 16:34:05,0.936s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-07-19 16:34:05,2022-07-19 16:34:37,31.439s,FAILED
"if (waitForElementPresent(logo, 30))",,,,2022-07-19 16:34:05,2022-07-19 16:34:37,31.301s,PASSED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-07-19 16:34:37,2022-07-19 16:35:07,30.232s,FAILED
"if (waitForElementPresent(logo, 30))",,,,2022-07-19 16:34:37,2022-07-19 16:35:07,30.073s,PASSED
else,,,,2022-07-19 16:35:07,2022-07-19 16:35:07,0.002s,FAILED
,,,,,,,
Test Cases/testing/Use Phone Number screen,,,,2022-07-19 16:35:07,2022-07-19 16:35:37,30.262s,FAILED
"if (waitForElementPresent(logo, 30))",,,,2022-07-19 16:35:07,2022-07-19 16:35:37,30.078s,PASSED
else,,,,2022-07-19 16:35:37,2022-07-19 16:35:37,0.001s,FAILED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-07-19 16:35:37,2022-07-19 16:35:48,10.734s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-07-19 16:35:38,2022-07-19 16:35:48,10.072s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-07-19 16:35:48,2022-07-19 16:35:59,11.215s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-07-19 16:35:48,2022-07-19 16:35:59,10.805s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-07-19 16:35:59,2022-07-19 16:36:09,9.806s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-07-19 16:35:59,2022-07-19 16:36:09,9.411s,PASSED
,,,,,,,
Test Cases/testing/Enter Phone Number,,,,2022-07-19 16:36:09,2022-07-19 16:36:19,10.417s,PASSED
"if (waitForElementPresent(Back, 30))",,,,2022-07-19 16:36:09,2022-07-19 16:36:19,9.939s,PASSED
,,,,,,,
Test Cases/testing/OTP,,,,2022-07-19 16:36:19,2022-07-19 16:36:50,30.432s,FAILED
"if (waitForElementPresent(logo, 30))",,,,2022-07-19 16:36:20,2022-07-19 16:36:50,30.128s,PASSED
